Generated by Fabric Compiler ( version 2022.2-SP6.4 <build 146967> ) at Wed Nov 19 01:11:28 2025

Number of unique control sets : 31
  CLK(pix_clk)                                     : 116
  CLK(pix_clk), C(sync_vg.N0_cpy), CE(~video_display.u_matrix_3x3_1bit_area_bin.fifo_line_buf2.U_ipm2l_fifo_fifo_line_buf_1bit.U_ipm2l_fifo_ctrl.wfull)  : 16
  CLK(pix_clk), C(sync_vg.N0_cpy), CE(~video_display.u_matrix_3x3_1bit_bin.fifo_line_buf1.U_ipm2l_fifo_fifo_line_buf_1bit.U_ipm2l_fifo_ctrl.rempty)      : 16
  CLK(pix_clk), C(sync_vg.N0_cpy), CE(~video_display.u_matrix_3x3_1bit_bin.fifo_line_buf1.U_ipm2l_fifo_fifo_line_buf_1bit.U_ipm2l_fifo_ctrl.wfull)       : 16
  CLK(pix_clk), C(sync_vg.N0_cpy), CE(~video_display.u_matrix_3x3_1bit_bin.fifo_line_buf2.U_ipm2l_fifo_fifo_line_buf_1bit.U_ipm2l_fifo_ctrl.rempty)      : 16
  CLK(pix_clk), C(sync_vg.N0_cpy), CE(~video_display.u_matrix_3x3_1bit_bin.fifo_line_buf2.U_ipm2l_fifo_fifo_line_buf_1bit.U_ipm2l_fifo_ctrl.wfull)       : 16
  CLK(pix_clk), R(sync_vg.N0)                      : 2
  CLK(pix_clk), R(sync_vg.x_act[11:0]_or)          : 12
  CLK(cfg_clk), R(N6)                              : 14
  CLK(pix_clk), R(sync_vg.N0), CE(sync_vg.N82)     : 11


Number of DFF:CE Signals : 24
  sync_vg.N82(from GTP_LUT4:Z)                     : 11
  video_display.u_area_bin.u_matrix_3x3.N96(from GTP_LUT6:Z)   : 11
  video_display.u_matrix_3x3_1bit_area_bin.N95(from GTP_LUT6:Z)      : 11
  video_display.u_matrix_3x3_1bit_bin.N95(from GTP_LUT6:Z)     : 11
  ~video_display.u_area_bin.u_matrix_3x3.fifo_line_buf1.U_ipm2l_fifo_fifo_line_buf.U_ipm2l_fifo_ctrl.rempty(from GTP_INV:Z)      : 13
  ~video_display.u_area_bin.u_matrix_3x3.fifo_line_buf1.U_ipm2l_fifo_fifo_line_buf.U_ipm2l_fifo_ctrl.wfull(from GTP_INV:Z)       : 13
  ~video_display.u_area_bin.u_matrix_3x3.fifo_line_buf2.U_ipm2l_fifo_fifo_line_buf.U_ipm2l_fifo_ctrl.rempty(from GTP_INV:Z)      : 13
  ~video_display.u_area_bin.u_matrix_3x3.fifo_line_buf2.U_ipm2l_fifo_fifo_line_buf.U_ipm2l_fifo_ctrl.wfull(from GTP_INV:Z)       : 13
  video_display.N584(from GTP_LUT5:Z)              : 16
  video_display.N586(from GTP_LUT6D:Z)             : 16
  video_display.N588(from GTP_LUT5:Z)              : 16
  video_display.N590(from GTP_LUT6D:Z)             : 16
  video_display.N592(from GTP_LUT6D:Z)             : 16
  video_display.N594(from GTP_LUT5:Z)              : 16
  video_display.N596(from GTP_LUT5:Z)              : 16
  video_display.N598(from GTP_LUT6D:Z)             : 16
  ~video_display.u_matrix_3x3_1bit_area_bin.fifo_line_buf1.U_ipm2l_fifo_fifo_line_buf_1bit.U_ipm2l_fifo_ctrl.rempty(from GTP_INV:Z)    : 16
  ~video_display.u_matrix_3x3_1bit_area_bin.fifo_line_buf1.U_ipm2l_fifo_fifo_line_buf_1bit.U_ipm2l_fifo_ctrl.wfull(from GTP_INV:Z)     : 16
  ~video_display.u_matrix_3x3_1bit_area_bin.fifo_line_buf2.U_ipm2l_fifo_fifo_line_buf_1bit.U_ipm2l_fifo_ctrl.rempty(from GTP_INV:Z)    : 16
  ~video_display.u_matrix_3x3_1bit_area_bin.fifo_line_buf2.U_ipm2l_fifo_fifo_line_buf_1bit.U_ipm2l_fifo_ctrl.wfull(from GTP_INV:Z)     : 16
  ~video_display.u_matrix_3x3_1bit_bin.fifo_line_buf1.U_ipm2l_fifo_fifo_line_buf_1bit.U_ipm2l_fifo_ctrl.rempty(from GTP_INV:Z)   : 16
  ~video_display.u_matrix_3x3_1bit_bin.fifo_line_buf1.U_ipm2l_fifo_fifo_line_buf_1bit.U_ipm2l_fifo_ctrl.wfull(from GTP_INV:Z)    : 16
  ~video_display.u_matrix_3x3_1bit_bin.fifo_line_buf2.U_ipm2l_fifo_fifo_line_buf_1bit.U_ipm2l_fifo_ctrl.rempty(from GTP_INV:Z)   : 16
  ~video_display.u_matrix_3x3_1bit_bin.fifo_line_buf2.U_ipm2l_fifo_fifo_line_buf_1bit.U_ipm2l_fifo_ctrl.wfull(from GTP_INV:Z)    : 16

Number of DFF:CLK Signals : 2
  cfg_clk(from GTP_GPLL:CLKOUT1)                   : 14
  pix_clk(from GTP_GPLL:CLKOUT0)                   : 1720

Number of DFF:CP Signals : 3
  u_dvi_transmitter.reset_syn.N0(from GTP_LUT3:Z)  : 2
  u_dvi_transmitter.reset(from GTP_DFF_P:Q)        : 45
  sync_vg.N0_cpy(from GTP_LUT6:Z)                  : 1532

Number of DFF:RS Signals : 3
  sync_vg.x_act[11:0]_or(from GTP_LUT6:Z)          : 12
  sync_vg.N0(from GTP_LUT6:Z)                      : 13
  N6(from GTP_LUT2:Z)                              : 14

